PlayerName,Matches,Innings,NotOut,Runs,HighestScore,Average,Centuries,HalfCenturies,Ducks,Country,FirstMatch,LastMatch,CenturyConversion,DuckPercentage,NotOutPercentage,FiftyPlusScorePercentage,CareerLength,MatchesPerYear,CurrentPlayer
SR Tendulkar,196,323,33,15706,248,54.15,51,66,14,IND,1990,2013,0.4359,0.0433,0.1022,0.3622,23,8.52,0
RT Ponting,168,287,29,13378,257,51.85,41,62,17,AUS,1995,2012,0.3981,0.0592,0.101,0.3589,17,9.88,0
JH Kallis,166,280,40,13289,224,55.37,45,58,16,SA,1995,2013,0.4369,0.0571,0.1429,0.3679,18,9.22,0
R Dravid,164,286,32,13288,270,52.31,36,63,8,IND,1996,2012,0.3636,0.028,0.1119,0.3462,16,10.25,0
AN Cook,161,291,16,12472,294,45.35,33,57,9,ENG,2006,2018,0.3667,0.0309,0.055,0.3093,12,13.42,0
KC Sangakkara,134,233,17,12400,319,57.4,38,52,11,SL,2000,2015,0.4222,0.0472,0.073,0.3863,15,8.93,0
BC Lara,131,232,6,11953,400,52.88,34,48,17,WI,1990,2006,0.4146,0.0733,0.0259,0.3534,16,8.19,0
S Chanderpaul,164,280,49,11867,203,51.37,30,66,15,WI,1994,2015,0.3125,0.0536,0.175,0.3429,21,7.81,0
DPMD Jayawardene,149,252,15,11814,374,49.84,34,50,15,SL,1997,2014,0.4048,0.0595,0.0595,0.3333,17,8.76,0
JE Root,140,257,21,11736,254,49.72,31,61,12,ENG,2012,2024,0.337,0.0467,0.0817,0.358,12,11.67,1
Younis Khan,118,213,19,10099,313,52.05,34,33,19,PAK,2000,2017,0.5075,0.0892,0.0892,0.3146,17,6.94,0
SPD Smith,109,195,25,9685,239,56.97,32,41,10,AUS,2010,2024,0.4384,0.0513,0.1282,0.3744,14,7.79,1
HM Amla,124,215,16,9282,311,46.64,28,41,13,SA,2004,2019,0.4058,0.0605,0.0744,0.3209,15,8.27,0
GC Smith,117,205,13,9265,277,48.25,27,38,11,SA,2002,2014,0.4154,0.0537,0.0634,0.3171,12,9.75,0
SR Waugh,133,206,36,9038,200,53.16,29,37,16,AUS,1990,2004,0.4394,0.0777,0.1748,0.3204,14,9.5,0
V Kohli,113,191,11,8848,254,49.15,29,30,14,IND,2011,2024,0.4915,0.0733,0.0576,0.3089,13,8.69,1
Inzamam-ul-Haq,120,200,22,8830,329,49.6,25,46,15,PAK,1992,2007,0.3521,0.075,0.11,0.355,15,8.0,0
DA Warner,112,205,8,8786,335,44.59,26,37,13,AUS,2011,2024,0.4127,0.0634,0.039,0.3073,13,8.62,1
VVS Laxman,134,225,34,8781,281,45.97,17,56,14,IND,1996,2012,0.2329,0.0622,0.1511,0.3244,16,8.38,0
AB de Villiers,114,191,18,8765,278,50.66,22,46,8,SA,2004,2018,0.3235,0.0419,0.0942,0.356,14,8.14,0
KS Williamson,100,176,17,8743,251,54.98,32,34,11,NZ,2010,2024,0.4848,0.0625,0.0966,0.375,14,7.14,1
MJ Clarke,115,198,22,8643,329,49.1,28,27,9,AUS,2004,2015,0.5091,0.0455,0.1111,0.2778,11,10.45,0
ML Hayden,103,184,14,8625,380,50.73,30,29,14,AUS,1994,2009,0.5085,0.0761,0.0761,0.3207,15,6.87,0
V Sehwag,104,180,6,8586,319,49.34,23,32,16,IND,2001,2013,0.4182,0.0889,0.0333,0.3056,12,8.67,0
AJ Stewart,133,235,21,8463,190,39.54,15,45,14,ENG,1990,2003,0.25,0.0596,0.0894,0.2553,13,10.23,0
KP Pietersen,104,181,8,8181,227,47.28,23,35,10,ENG,2005,2014,0.3966,0.0552,0.0442,0.3204,9,11.56,0
ME Waugh,128,209,17,8029,153,41.81,20,47,19,AUS,1991,2002,0.2985,0.0909,0.0813,0.3206,11,11.64,0
IR Bell,118,205,24,7727,235,42.69,22,46,14,ENG,2004,2015,0.3235,0.0683,0.1171,0.3317,11,10.73,0
JL Langer,105,182,12,7696,250,45.27,23,30,11,AUS,1993,2007,0.434,0.0604,0.0659,0.2912,14,7.5,0
LRPL Taylor,112,196,24,7683,290,44.66,19,35,14,NZ,2007,2022,0.3519,0.0714,0.1224,0.2755,15,7.47,0
MA Atherton,113,208,7,7655,185,38.08,16,46,19,ENG,1990,2001,0.2581,0.0913,0.0337,0.2981,11,10.27,0
AD Mathews,109,193,26,7608,200,45.55,16,41,5,SL,2009,2024,0.2807,0.0259,0.1347,0.2953,15,7.27,1
Mohammad Yousuf,90,156,12,7530,223,52.29,24,33,11,PAK,1998,2010,0.4211,0.0705,0.0769,0.3654,12,7.5,0
G Kirsten,101,176,15,7289,275,45.27,21,34,13,SA,1993,2004,0.3818,0.0739,0.0852,0.3125,11,9.18,0
CH Gayle,103,182,11,7214,333,42.18,15,37,15,WI,2000,2014,0.2885,0.0824,0.0604,0.2857,14,7.36,0
SC Ganguly,113,188,17,7212,239,42.17,16,35,13,IND,1996,2008,0.3137,0.0691,0.0904,0.2713,12,9.42,0
CA Pujara,103,176,11,7195,206,43.6,19,35,12,IND,2010,2023,0.3519,0.0682,0.0625,0.3068,13,7.92,0
SP Fleming,111,189,10,7172,274,40.06,9,46,16,NZ,1994,2008,0.1636,0.0847,0.0529,0.291,14,7.93,0
Azhar Ali,97,180,11,7142,302,42.26,19,35,19,PAK,2010,2022,0.3519,0.1056,0.0611,0.3,12,8.08,0
AJ Strauss,100,178,6,7037,177,40.91,21,27,15,ENG,2004,2012,0.4375,0.0843,0.0337,0.2697,8,12.5,0
ST Jayasuriya,110,188,14,6973,340,40.07,14,31,15,SL,1991,2007,0.3111,0.0798,0.0745,0.2394,16,6.88,0
