PlayerName,Runs,Minutes,BallsFaced,Fours,Sixes,StrikeRate,MatchInning,Opposition,Ground,Year,Home/Away,Nationality
KS Williamson,19.0,45.0,33.0,3.0,0.0,57.57,1.0,australia,Brisbane,2011,0,New Zealand
KS Williamson,0.0,2.0,2.0,0.0,0.0,0.0,3.0,australia,Brisbane,2011,0,New Zealand
KS Williamson,19.0,49.0,41.0,2.0,0.0,46.34,1.0,australia,Hobart,2011,0,New Zealand
KS Williamson,34.0,93.0,48.0,4.0,0.0,70.83,3.0,australia,Hobart,2011,0,New Zealand
KS Williamson,49.0,101.0,92.0,6.0,0.0,53.26,1.0,zimbabwe,Bulawayo,2011,0,New Zealand
KS Williamson,68.0,198.0,140.0,8.0,1.0,48.57,3.0,zimbabwe,Bulawayo,2011,0,New Zealand
KS Williamson,17.0,74.0,44.0,2.0,0.0,38.63,1.0,india,Bengaluru,2012,0,New Zealand
KS Williamson,13.0,57.0,37.0,2.0,0.0,35.13,3.0,india,Bengaluru,2012,0,New Zealand
KS Williamson,32.0,114.0,92.0,3.0,0.0,34.78,2.0,india,Hyderabad (Deccan),2012,0,New Zealand
KS Williamson,52.0,197.0,163.0,4.0,0.0,31.9,3.0,india,Hyderabad (Deccan),2012,0,New Zealand
KS Williamson,11.0,45.0,45.0,0.0,0.0,24.44,2.0,south africa,Dunedin,2012,1,New Zealand
KS Williamson,0.0,13.0,8.0,0.0,0.0,0.0,1.0,south africa,Hamilton,2012,1,New Zealand
KS Williamson,77.0,253.0,193.0,10.0,0.0,39.89,3.0,south africa,Hamilton,2012,1,New Zealand
KS Williamson,39.0,134.0,92.0,5.0,0.0,42.39,2.0,south africa,Wellington,2012,1,New Zealand
KS Williamson,102.0,327.0,228.0,9.0,0.0,44.73,4.0,south africa,Wellington,2012,1,New Zealand
KS Williamson,135.0,421.0,305.0,12.0,0.0,44.26,1.0,sri lanka,Colombo (PSS),2012,0,New Zealand
KS Williamson,18.0,53.0,42.0,0.0,0.0,42.85,3.0,sri lanka,Colombo (PSS),2012,0,New Zealand
KS Williamson,0.0,3.0,2.0,0.0,0.0,0.0,1.0,sri lanka,Galle,2012,0,New Zealand
KS Williamson,10.0,57.0,35.0,1.0,0.0,28.57,3.0,sri lanka,Galle,2012,0,New Zealand
KS Williamson,22.0,77.0,64.0,1.0,0.0,34.37,1.0,west indies,Kingston,2012,0,New Zealand
KS Williamson,8.0,55.0,43.0,0.0,0.0,18.6,3.0,west indies,Kingston,2012,0,New Zealand
KS Williamson,19.0,90.0,69.0,2.0,0.0,27.53,1.0,west indies,North Sound,2012,0,New Zealand
KS Williamson,0.0,8.0,4.0,0.0,0.0,0.0,3.0,west indies,North Sound,2012,0,New Zealand
KS Williamson,4.0,18.0,8.0,0.0,0.0,50.0,1.0,zimbabwe,Napier,2012,1,New Zealand
KS Williamson,114.0,275.0,210.0,12.0,0.0,54.28,1.0,bangladesh,Chattogram,2013,0,New Zealand
KS Williamson,74.0,228.0,150.0,2.0,1.0,49.33,3.0,bangladesh,Chattogram,2013,0,New Zealand
KS Williamson,62.0,243.0,151.0,6.0,0.0,41.05,2.0,bangladesh,Dhaka,2013,0,New Zealand
KS Williamson,13.0,71.0,50.0,1.0,0.0,26.0,2.0,england,Leeds,2013,0,New Zealand
KS Williamson,3.0,34.0,23.0,0.0,0.0,13.04,4.0,england,Leeds,2013,0,New Zealand
KS Williamson,60.0,276.0,167.0,6.0,0.0,35.92,2.0,england,Lord's,2013,0,New Zealand
KS Williamson,6.0,39.0,24.0,0.0,0.0,25.0,4.0,england,Lord's,2013,0,New Zealand
KS Williamson,91.0,266.0,199.0,15.0,0.0,45.72,1.0,england,Auckland,2013,1,New Zealand
