PlayerName,Runs,Minutes,BallsFaced,Fours,Sixes,StrikeRate,MatchInning,Opposition,Ground,Year,Home/Away,Nationality
SPD Smith,17.0,35.0,34.0,3.0,0.0,50.0,2.0,england,Chester-le-Street,2013,0,Australia
SPD Smith,2.0,35.0,19.0,0.0,0.0,10.52,4.0,england,Chester-le-Street,2013,0,Australia
SPD Smith,2.0,26.0,14.0,0.0,0.0,14.28,2.0,england,Lord's,2013,0,Australia
SPD Smith,1.0,19.0,14.0,0.0,0.0,7.14,4.0,england,Lord's,2013,0,Australia
SPD Smith,89.0,289.0,196.0,8.0,0.0,45.4,1.0,england,Manchester,2013,0,Australia
SPD Smith,19.0,27.0,19.0,0.0,2.0,100.0,3.0,england,Manchester,2013,0,Australia
SPD Smith,53.0,98.0,79.0,7.0,1.0,67.08,2.0,england,Nottingham,2013,0,Australia
SPD Smith,17.0,72.0,48.0,2.0,0.0,35.41,4.0,england,Nottingham,2013,0,Australia
SPD Smith,138.0,382.0,241.0,16.0,2.0,57.26,1.0,england,The Oval,2013,0,Australia
SPD Smith,7.0,12.0,12.0,0.0,0.0,58.33,3.0,england,The Oval,2013,0,Australia
SPD Smith,6.0,22.0,17.0,1.0,0.0,35.29,1.0,england,Adelaide,2013,1,Australia
SPD Smith,23.0,71.0,54.0,2.0,0.0,42.59,3.0,england,Adelaide,2013,1,Australia
SPD Smith,31.0,80.0,59.0,4.0,0.0,52.54,1.0,england,Brisbane,2013,1,Australia
SPD Smith,0.0,13.0,7.0,0.0,0.0,0.0,3.0,england,Brisbane,2013,1,Australia
SPD Smith,19.0,97.0,77.0,3.0,0.0,24.67,2.0,england,Melbourne,2013,1,Australia
SPD Smith,111.0,295.0,208.0,14.0,2.0,53.36,1.0,england,Perth,2013,1,Australia
SPD Smith,15.0,59.0,50.0,0.0,0.0,30.0,3.0,england,Perth,2013,1,Australia
SPD Smith,46.0,152.0,145.0,3.0,2.0,31.72,1.0,india,Delhi,2013,0,Australia
SPD Smith,18.0,43.0,53.0,1.0,0.0,33.96,3.0,india,Delhi,2013,0,Australia
SPD Smith,92.0,236.0,185.0,10.0,1.0,49.72,1.0,india,Mohali,2013,0,Australia
SPD Smith,5.0,23.0,19.0,0.0,0.0,26.31,3.0,india,Mohali,2013,0,Australia
SPD Smith,115.0,249.0,154.0,17.0,1.0,74.67,1.0,england,Sydney,2014,1,Australia
SPD Smith,7.0,27.0,12.0,1.0,0.0,58.33,3.0,england,Sydney,2014,1,Australia
SPD Smith,162.0,298.0,231.0,21.0,0.0,70.12,1.0,india,Adelaide,2014,1,Australia
SPD Smith,52.0,103.0,64.0,5.0,0.0,81.25,3.0,india,Adelaide,2014,1,Australia
SPD Smith,133.0,303.0,191.0,13.0,2.0,69.63,2.0,india,Brisbane,2014,1,Australia
SPD Smith,28.0,75.0,39.0,4.0,0.0,71.79,4.0,india,Brisbane,2014,1,Australia
SPD Smith,192.0,433.0,305.0,15.0,2.0,62.95,1.0,india,Melbourne,2014,1,Australia
SPD Smith,14.0,48.0,27.0,2.0,0.0,51.85,3.0,india,Melbourne,2014,1,Australia
SPD Smith,84.0,214.0,155.0,9.0,3.0,54.19,1.0,south africa,Cape Town,2014,0,Australia
SPD Smith,36.0,29.0,20.0,5.0,0.0,180.0,3.0,south africa,Cape Town,2014,0,Australia
SPD Smith,100.0,288.0,213.0,13.0,0.0,46.94,1.0,south africa,Centurion,2014,0,Australia
SPD Smith,49.0,102.0,72.0,8.0,0.0,68.05,2.0,south africa,Port Elizabeth,2014,0,Australia
