,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
2,KS Williamson,166.0,384.0,250.0,24.0,0.0,66.4,2.0,Australia,Perth,2015,away
3,KS Williamson,161.0,381.0,271.0,22.0,0.0,59.4,3.0,West Indies,Bridgetown,2014,away
6,KS Williamson,140.0,292.0,178.0,24.0,0.0,78.65,2.0,Australia,Brisbane,2015,away
8,KS Williamson,135.0,421.0,305.0,12.0,0.0,44.26,1.0,Sri Lanka,Colombo (PSS),2012,away
9,KS Williamson,132.0,372.0,262.0,15.0,0.0,50.38,2.0,England,Lord's,2015,away
14,KS Williamson,114.0,275.0,210.0,12.0,0.0,54.28,1.0,Bangladesh,Chattogram,2013,away
16,KS Williamson,113.0,370.0,298.0,12.0,0.0,37.91,1.0,West Indies,Kingston,2014,away
17,KS Williamson,113.0,202.0,151.0,10.0,0.0,74.83,1.0,Zimbabwe,Bulawayo,2016,away
27,KS Williamson,91.0,242.0,179.0,9.0,0.0,50.83,2.0,Zimbabwe,Bulawayo,2016,away
43,KS Williamson,77.0,284.0,133.0,8.0,1.0,57.89,2.0,South Africa,Centurion,2016,away
48,KS Williamson,75.0,197.0,137.0,7.0,0.0,54.74,2.0,India,Kanpur,2016,away
50,KS Williamson,74.0,228.0,150.0,2.0,1.0,49.33,3.0,Bangladesh,Chattogram,2013,away
63,KS Williamson,68.0,130.0,103.0,6.0,0.0,66.01,3.0,Zimbabwe,Bulawayo,2016,away
64,KS Williamson,68.0,198.0,140.0,8.0,1.0,48.57,3.0,Zimbabwe,Bulawayo,2011,away
75,KS Williamson,62.0,243.0,151.0,6.0,0.0,41.05,2.0,Bangladesh,Dhaka,2013,away
79,KS Williamson,60.0,276.0,167.0,6.0,0.0,35.92,2.0,England,Lord's,2013,away
83,KS Williamson,59.0,127.0,74.0,5.0,0.0,79.72,4.0,Australia,Brisbane,2015,away
99,KS Williamson,52.0,197.0,163.0,4.0,0.0,31.9,3.0,India,Hyderabad (Deccan),2012,away
100,KS Williamson,52.0,215.0,178.0,5.0,0.0,29.21,3.0,West Indies,Port of Spain,2014,away
107,KS Williamson,49.0,101.0,92.0,6.0,0.0,53.26,1.0,Zimbabwe,Bulawayo,2011,away
122,KS Williamson,43.0,110.0,68.0,7.0,0.0,63.23,1.0,West Indies,Bridgetown,2014,away
128,KS Williamson,42.0,153.0,104.0,5.0,0.0,40.38,1.0,West Indies,Port of Spain,2014,away
157,KS Williamson,34.0,93.0,48.0,4.0,0.0,70.83,3.0,Australia,Hobart,2011,away
159,KS Williamson,34.0,102.0,70.0,7.0,0.0,48.57,2.0,Australia,Perth,2019,away
165,KS Williamson,32.0,73.0,58.0,3.0,0.0,55.17,4.0,Australia,Perth,2015,away
166,KS Williamson,32.0,114.0,92.0,3.0,0.0,34.78,2.0,India,Hyderabad (Deccan),2012,away
196,KS Williamson,27.0,101.0,70.0,3.0,0.0,38.57,4.0,England,Lord's,2015,away
199,KS Williamson,27.0,40.0,33.0,5.0,0.0,81.81,4.0,India,Indore,2016,away
10,KS Williamson,25.0,61.0,59.0,3.0,0.0,42.37,4.0,India,Kanpur,2016,away
32,KS Williamson,22.0,77.0,64.0,1.0,0.0,34.37,1.0,West Indies,Kingston,2012,away
38,KS Williamson,22.0,85.0,58.0,2.0,0.0,37.93,1.0,Australia,Adelaide,2015,away
61,KS Williamson,20.0,43.0,28.0,2.0,0.0,71.42,2.0,Sri Lanka,Colombo (PSS),2019,away
63,KS Williamson,19.0,45.0,33.0,3.0,0.0,57.57,1.0,Australia,Brisbane,2011,away
64,KS Williamson,19.0,49.0,41.0,2.0,0.0,46.34,1.0,Australia,Hobart,2011,away
65,KS Williamson,19.0,90.0,69.0,2.0,0.0,27.53,1.0,West Indies,North Sound,2012,away
75,KS Williamson,18.0,53.0,42.0,0.0,0.0,42.85,3.0,Sri Lanka,Colombo (PSS),2012,away
88,KS Williamson,17.0,74.0,44.0,2.0,0.0,38.63,1.0,India,Bengaluru,2012,away
111,KS Williamson,15.0,78.0,46.0,2.0,0.0,32.6,3.0,South Africa,Cape Town,2013,away
141,KS Williamson,14.0,0.0,8.0,3.0,0.0,175.0,4.0,Australia,Perth,2019,away
148,KS Williamson,13.0,57.0,37.0,2.0,0.0,35.13,3.0,India,Bengaluru,2012,away
152,KS Williamson,13.0,28.0,19.0,2.0,0.0,68.42,1.0,South Africa,Cape Town,2013,away
155,KS Williamson,13.0,71.0,50.0,1.0,0.0,26.0,2.0,England,Leeds,2013,away
182,KS Williamson,11.0,42.0,32.0,2.0,0.0,34.37,3.0,South Africa,Port Elizabeth,2013,away
193,KS Williamson,10.0,57.0,35.0,1.0,0.0,28.57,3.0,Sri Lanka,Galle,2012,away
9,KS Williamson,9.0,34.0,24.0,1.0,0.0,37.5,3.0,Australia,Adelaide,2015,away
11,KS Williamson,9.0,36.0,14.0,0.0,0.0,64.28,2.0,Australia,Melbourne,2019,away
16,KS Williamson,8.0,55.0,43.0,0.0,0.0,18.6,3.0,West Indies,Kingston,2012,away
28,KS Williamson,8.0,33.0,25.0,1.0,0.0,32.0,2.0,India,Indore,2016,away
