,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
2,JE Root,254.0,614.0,406.0,27.0,0.0,62.56,1.0,Pakistan,Manchester,2016,home
7,JE Root,200.0,500.0,298.0,16.0,0.0,67.11,1.0,Sri Lanka,Lord's,2014,home
8,JE Root,190.0,375.0,234.0,27.0,1.0,81.19,1.0,South Africa,Lord's,2017,home
9,JE Root,180.0,466.0,338.0,18.0,2.0,53.25,3.0,Australia,Lord's,2013,home
18,JE Root,154.0,400.0,295.0,15.0,0.0,52.2,2.0,India,Nottingham,2014,home
20,JE Root,149.0,268.0,165.0,18.0,1.0,90.3,2.0,India,The Oval,2014,home
26,JE Root,136.0,287.0,189.0,22.0,0.0,71.95,1.0,West Indies,Birmingham,2017,home
28,JE Root,134.0,247.0,166.0,17.0,0.0,80.72,1.0,Australia,Cardiff,2015,home
32,JE Root,130.0,246.0,176.0,19.0,1.0,73.86,2.0,Australia,Nottingham,2015,home
35,JE Root,125.0,264.0,190.0,12.0,1.0,65.78,3.0,India,The Oval,2018,home
55,JE Root,104.0,236.0,167.0,9.0,0.0,62.27,1.0,New Zealand,Leeds,2013,home
61,JE Root,98.0,218.0,161.0,11.0,0.0,60.86,1.0,New Zealand,Lord's,2015,home
87,JE Root,84.0,190.0,139.0,12.0,0.0,60.43,3.0,New Zealand,Lord's,2015,home
97,JE Root,80.0,153.0,119.0,5.0,0.0,67.22,1.0,Sri Lanka,Chester-le-Street,2016,home
98,JE Root,80.0,243.0,156.0,9.0,0.0,51.28,1.0,India,Birmingham,2018,home
104,JE Root,78.0,117.0,76.0,12.0,0.0,102.63,2.0,South Africa,Nottingham,2017,home
106,JE Root,77.0,219.0,161.0,7.0,0.0,47.82,2.0,India,Manchester,2014,home
108,JE Root,77.0,322.0,205.0,7.0,0.0,37.56,4.0,Australia,Leeds,2019,home
124,JE Root,72.0,187.0,111.0,15.0,0.0,64.86,3.0,West Indies,Leeds,2017,home
126,JE Root,71.0,59.0,48.0,10.0,0.0,147.91,3.0,Pakistan,Manchester,2016,home
130,JE Root,71.0,178.0,120.0,8.0,0.0,59.16,3.0,New Zealand,Lord's,2013,home
133,JE Root,71.0,255.0,168.0,10.0,0.0,42.26,2.0,Australia,Manchester,2019,home
144,JE Root,68.0,77.0,56.0,8.0,1.0,121.42,3.0,West Indies,Manchester,2020,home
146,JE Root,68.0,234.0,184.0,11.0,0.0,36.95,2.0,Australia,The Oval,2013,home
147,JE Root,68.0,187.0,120.0,8.0,0.0,56.66,3.0,Pakistan,Lord's,2018,home
153,JE Root,66.0,222.0,146.0,7.0,0.0,45.2,4.0,India,Lord's,2014,home
168,JE Root,63.0,113.0,75.0,9.0,1.0,84.0,2.0,Australia,Birmingham,2015,home
174,JE Root,62.0,165.0,123.0,8.0,0.0,50.4,3.0,Pakistan,Birmingham,2016,home
185,JE Root,60.0,133.0,89.0,9.0,0.0,67.41,3.0,Australia,Cardiff,2015,home
191,JE Root,59.0,156.0,98.0,9.0,0.0,60.2,1.0,West Indies,Leeds,2017,home
5,JE Root,57.0,192.0,119.0,6.0,0.0,47.89,2.0,Australia,Birmingham,2019,home
6,JE Root,57.0,218.0,141.0,3.0,0.0,40.42,1.0,Australia,The Oval,2019,home
10,JE Root,56.0,66.0,41.0,9.0,0.0,136.58,3.0,India,Southampton,2014,home
28,JE Root,52.0,135.0,101.0,6.0,0.0,51.48,1.0,South Africa,Manchester,2017,home
35,JE Root,50.0,131.0,94.0,6.0,0.0,53.19,3.0,South Africa,The Oval,2017,home
42,JE Root,49.0,140.0,106.0,6.0,0.0,46.22,3.0,South Africa,Manchester,2017,home
47,JE Root,48.0,119.0,73.0,7.0,0.0,65.75,2.0,Pakistan,Lord's,2016,home
50,JE Root,48.0,140.0,88.0,6.0,0.0,54.54,3.0,India,Southampton,2018,home
71,JE Root,45.0,117.0,72.0,6.0,0.0,62.5,2.0,Pakistan,Leeds,2018,home
89,JE Root,42.0,110.0,84.0,7.0,0.0,50.0,4.0,Pakistan,Manchester,2020,home
96,JE Root,40.0,180.0,114.0,4.0,0.0,35.08,1.0,New Zealand,Lord's,2013,home
110,JE Root,39.0,82.0,46.0,4.0,0.0,84.78,3.0,Pakistan,The Oval,2016,home
112,JE Root,38.0,89.0,63.0,6.0,1.0,60.31,4.0,Australia,Birmingham,2015,home
173,JE Root,31.0,161.0,108.0,4.0,0.0,28.7,4.0,Sri Lanka,Leeds,2014,home
176,JE Root,31.0,93.0,64.0,3.0,0.0,48.43,3.0,Ireland,Lord's,2019,home
184,JE Root,30.0,99.0,64.0,6.0,0.0,46.87,1.0,Australia,Nottingham,2013,home
196,JE Root,29.0,71.0,56.0,4.0,0.0,51.78,1.0,South Africa,The Oval,2017,home
3,JE Root,29.0,68.0,51.0,3.0,0.0,56.86,1.0,Pakistan,Southampton,2020,home
7,JE Root,28.0,32.0,22.0,4.0,0.0,127.27,3.0,New Zealand,Leeds,2013,home
17,JE Root,28.0,97.0,57.0,3.0,0.0,49.12,4.0,Australia,Birmingham,2019,home
36,JE Root,26.0,57.0,39.0,5.0,0.0,66.66,1.0,Pakistan,The Oval,2016,home
79,JE Root,23.0,80.0,49.0,2.0,0.0,46.93,1.0,West Indies,Manchester,2020,home
93,JE Root,22.0,58.0,33.0,0.0,0.0,66.66,3.0,West Indies,Manchester,2020,home
107,JE Root,21.0,54.0,26.0,2.0,0.0,80.76,3.0,Australia,The Oval,2019,home
135,JE Root,19.0,82.0,53.0,2.0,0.0,35.84,2.0,India,Lord's,2018,home
166,JE Root,17.0,84.0,44.0,2.0,0.0,38.63,4.0,Australia,Lord's,2015,home
181,JE Root,17.0,92.0,59.0,0.0,0.0,28.81,1.0,West Indies,Manchester,2020,home
190,JE Root,16.0,78.0,52.0,1.0,0.0,30.76,1.0,Australia,Chester-le-Street,2013,home
2,JE Root,16.0,68.0,29.0,2.0,0.0,55.17,2.0,India,Nottingham,2018,home
9,JE Root,15.0,32.0,18.0,2.0,0.0,83.33,3.0,Sri Lanka,Lord's,2014,home
31,JE Root,14.0,48.0,35.0,1.0,0.0,40.0,3.0,India,Birmingham,2018,home
32,JE Root,14.0,37.0,20.0,3.0,0.0,70.0,1.0,Australia,Lord's,2019,home
35,JE Root,14.0,93.0,58.0,2.0,0.0,24.13,2.0,Pakistan,Manchester,2020,home
36,JE Root,13.0,95.0,57.0,1.0,0.0,22.8,4.0,Australia,Manchester,2013,home
44,JE Root,13.0,48.0,32.0,2.0,0.0,40.62,2.0,Sri Lanka,Leeds,2014,home
45,JE Root,13.0,66.0,50.0,0.0,0.0,26.0,2.0,India,Lord's,2014,home
58,JE Root,13.0,71.0,40.0,2.0,0.0,32.5,4.0,India,Nottingham,2018,home
94,JE Root,11.0,20.0,17.0,2.0,0.0,64.7,4.0,Australia,The Oval,2013,home
99,JE Root,11.0,52.0,30.0,1.0,0.0,36.66,3.0,Australia,The Oval,2015,home
145,JE Root,9.0,49.0,35.0,0.0,0.0,25.71,2.0,Pakistan,Southampton,2020,home
155,JE Root,9.0,50.0,30.0,2.0,0.0,30.0,4.0,Pakistan,Lord's,2016,home
177,JE Root,8.0,97.0,57.0,1.0,0.0,14.03,2.0,Australia,Manchester,2013,home
185,JE Root,8.0,34.0,20.0,0.0,0.0,40.0,4.0,South Africa,Nottingham,2017,home
40,JE Root,6.0,28.0,14.0,1.0,0.0,42.85,1.0,Australia,Lord's,2013,home
47,JE Root,6.0,59.0,39.0,1.0,0.0,15.38,2.0,Australia,The Oval,2015,home
69,JE Root,5.0,34.0,31.0,1.0,0.0,16.12,3.0,Australia,Nottingham,2013,home
79,JE Root,5.0,20.0,13.0,1.0,0.0,38.46,3.0,South Africa,Lord's,2017,home
122,JE Root,4.0,7.0,5.0,1.0,0.0,80.0,3.0,Sri Lanka,Lord's,2016,home
128,JE Root,4.0,46.0,24.0,0.0,0.0,16.66,1.0,Pakistan,Lord's,2018,home
