PlayerName,Matches,Innings,NotOut,Runs,HighestScore,Average,Centuries,HalfCenturies,Ducks,Country,FirstMatch,LastMatch,CenturyConversion,DuckPercentage,NotOutPercentage,FiftyPlusScorePercentage,CareerLength,MatchesPerYear,CurrentPlayer
SR Tendulkar,200,329,33,15921,248,53.78,51,68,14,IND,1989,2013,0.4286,0.0426,0.1003,0.3617,24,8.33,0
RT Ponting,168,287,29,13378,257,51.85,41,62,17,AUS,1995,2012,0.3981,0.0592,0.101,0.3589,17,9.88,0
JH Kallis,166,280,40,13289,224,55.37,45,58,16,SA,1995,2013,0.4369,0.0571,0.1429,0.3679,18,9.22,0
R Dravid,164,286,32,13288,270,52.31,36,63,8,IND,1996,2012,0.3636,0.028,0.1119,0.3462,16,10.25,0
AN Cook,161,291,16,12472,294,45.35,33,57,9,ENG,2006,2018,0.3667,0.0309,0.055,0.3093,12,13.42,0
KC Sangakkara,134,233,17,12400,319,57.4,38,52,11,SL,2000,2015,0.4222,0.0472,0.073,0.3863,15,8.93,0
BC Lara,131,232,6,11953,400,52.88,34,48,17,WI,1990,2006,0.4146,0.0733,0.0259,0.3534,16,8.19,0
S Chanderpaul,164,280,49,11867,203,51.37,30,66,15,WI,1994,2015,0.3125,0.0536,0.175,0.3429,21,7.81,0
DPMD Jayawardene,149,252,15,11814,374,49.84,34,50,15,SL,1997,2014,0.4048,0.0595,0.0595,0.3333,17,8.76,0
AR Border,156,265,44,11174,205,50.56,27,63,11,AUS,1978,1994,0.3,0.0415,0.166,0.3396,16,9.75,0
SR Waugh,168,260,46,10927,200,51.06,32,50,22,AUS,1985,2004,0.3902,0.0846,0.1769,0.3154,19,8.84,0
SM Gavaskar,125,214,16,10122,236,51.12,34,45,12,IND,1971,1987,0.4304,0.0561,0.0748,0.3692,16,7.81,0
Younis Khan,118,213,19,10099,313,52.05,34,33,19,PAK,2000,2017,0.5075,0.0892,0.0892,0.3146,17,6.94,0
HM Amla,124,215,16,9282,311,46.64,28,41,13,SA,2004,2019,0.4058,0.0605,0.0744,0.3209,15,8.27,1
GC Smith,117,205,13,9265,277,48.25,27,38,11,SA,2002,2014,0.4154,0.0537,0.0634,0.3171,12,9.75,0
GA Gooch,118,215,6,8900,333,42.58,20,46,13,ENG,1975,1995,0.303,0.0605,0.0279,0.307,20,5.9,0
Javed Miandad,124,189,21,8832,280,52.57,23,43,6,PAK,1976,1993,0.3485,0.0317,0.1111,0.3492,17,7.29,0
Inzamam-ul-Haq,120,200,22,8830,329,49.6,25,46,15,PAK,1992,2007,0.3521,0.075,0.11,0.355,15,8.0,0
VVS Laxman,134,225,34,8781,281,45.97,17,56,14,IND,1996,2012,0.2329,0.0622,0.1511,0.3244,16,8.38,0
AB de Villiers,114,191,18,8765,278,50.66,22,46,8,SA,2004,2018,0.3235,0.0419,0.0942,0.356,14,8.14,0
MJ Clarke,115,198,22,8643,329,49.1,28,27,9,AUS,2004,2015,0.5091,0.0455,0.1111,0.2778,11,10.45,0
ML Hayden,103,184,14,8625,380,50.73,30,29,14,AUS,1994,2009,0.5085,0.0761,0.0761,0.3207,15,6.87,0
V Sehwag,104,180,6,8586,319,49.34,23,32,16,IND,2001,2013,0.4182,0.0889,0.0333,0.3056,12,8.67,0
IVA Richards,121,182,12,8540,291,50.23,24,45,10,WI,1974,1991,0.3478,0.0549,0.0659,0.3791,17,7.12,0
AJ Stewart,133,235,21,8463,190,39.54,15,45,14,ENG,1990,2003,0.25,0.0596,0.0894,0.2553,13,10.23,0
DI Gower,117,204,18,8231,215,44.25,18,39,7,ENG,1978,1992,0.3158,0.0343,0.0882,0.2794,14,8.36,0
KP Pietersen,104,181,8,8181,227,47.28,23,35,10,ENG,2005,2014,0.3966,0.0552,0.0442,0.3204,9,11.56,0
G Boycott,108,193,23,8114,246,47.72,22,42,10,ENG,1964,1982,0.3438,0.0518,0.1192,0.3316,18,6.0,0
GS Sobers,93,160,21,8032,365,57.78,26,30,12,WI,1954,1974,0.4643,0.075,0.1312,0.35,20,4.65,0
ME Waugh,128,209,17,8029,153,41.81,20,47,19,AUS,1991,2002,0.2985,0.0909,0.0813,0.3206,11,11.64,0
MA Atherton,115,212,7,7728,185,37.69,16,46,20,ENG,1989,2001,0.2581,0.0943,0.033,0.2925,12,9.58,0
IR Bell,118,205,24,7727,235,42.69,22,46,14,ENG,2004,2015,0.3235,0.0683,0.1171,0.3317,11,10.73,0
JL Langer,105,182,12,7696,250,45.27,23,30,11,AUS,1993,2007,0.434,0.0604,0.0659,0.2912,14,7.5,0
MC Cowdrey,114,188,15,7624,182,44.06,22,38,9,ENG,1954,1975,0.3667,0.0479,0.0798,0.3191,21,5.43,0
CG Greenidge,108,185,16,7558,226,44.72,19,34,11,WI,1974,1991,0.3585,0.0595,0.0865,0.2865,17,6.35,0
Mohammad Yousuf,90,156,12,7530,223,52.29,24,33,11,PAK,1998,2010,0.4211,0.0705,0.0769,0.3654,12,7.5,0
MA Taylor,104,186,13,7525,334,43.49,19,40,5,AUS,1989,1999,0.322,0.0269,0.0699,0.3172,10,10.4,0
CH Lloyd,110,175,14,7515,242,46.67,19,39,4,WI,1966,1985,0.3276,0.0229,0.08,0.3314,19,5.79,0
DL Haynes,116,202,25,7487,184,42.29,18,39,10,WI,1978,1994,0.3158,0.0495,0.1238,0.2822,16,7.25,0
DC Boon,107,190,20,7422,200,43.65,21,32,16,AUS,1984,1996,0.3962,0.0842,0.1053,0.2789,12,8.92,0
JE Root,89,164,12,7359,254,48.41,17,45,8,ENG,2012,2019,0.2742,0.0488,0.0732,0.378,7,12.71,1
G Kirsten,101,176,15,7289,275,45.27,21,34,13,SA,1993,2004,0.3818,0.0739,0.0852,0.3125,11,9.18,0
WR Hammond,85,140,16,7249,336,58.45,22,24,4,ENG,1927,1947,0.4783,0.0286,0.1143,0.3286,20,4.25,0
CH Gayle,103,182,11,7214,333,42.18,15,37,15,WI,2000,2014,0.2885,0.0824,0.0604,0.2857,14,7.36,0
SC Ganguly,113,188,17,7212,239,42.17,16,35,13,IND,1996,2008,0.3137,0.0691,0.0904,0.2713,12,9.42,0
V Kohli,84,141,10,7202,254,54.97,27,22,10,IND,2011,2019,0.551,0.0709,0.0709,0.3475,8,10.5,1
SP Fleming,111,189,10,7172,274,40.06,9,46,16,NZ,1994,2008,0.1636,0.0847,0.0529,0.291,14,7.93,0
SPD Smith,72,130,16,7164,239,62.84,26,28,4,AUS,2010,2019,0.4815,0.0308,0.1231,0.4154,9,8.0,1
LRPL Taylor,98,173,20,7130,290,46.6,19,33,14,NZ,2007,2019,0.3654,0.0809,0.1156,0.3006,12,8.17,1
GS Chappell,87,151,19,7110,247,53.86,24,31,12,AUS,1970,1984,0.4364,0.0795,0.1258,0.3642,14,6.21,0
DA Warner,83,153,6,7088,335,48.21,23,30,9,AUS,2011,2019,0.434,0.0588,0.0392,0.3464,8,10.38,1
AJ Strauss,100,178,6,7037,177,40.91,21,27,15,ENG,2004,2012,0.4375,0.0843,0.0337,0.2697,8,12.5,0
