,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
2,KS Williamson,251.0,624.0,412.0,34.0,2.0,60.92,1.0,West Indies,Hamilton,2020,home
3,KS Williamson,242.0,623.0,438.0,18.0,0.0,55.25,3.0,Sri Lanka,Wellington,2015,home
4,KS Williamson,238.0,573.0,364.0,28.0,0.0,65.38,2.0,Pakistan,Christchurch,2021,home
8,KS Williamson,200.0,382.0,257.0,19.0,0.0,77.82,2.0,Bangladesh,Hamilton,2019,home
12,KS Williamson,176.0,453.0,285.0,16.0,3.0,61.75,2.0,South Africa,Hamilton,2017,home
27,KS Williamson,130.0,380.0,241.0,18.0,0.0,53.94,2.0,South Africa,Dunedin,2017,home
29,KS Williamson,129.0,476.0,297.0,12.0,1.0,43.43,1.0,Pakistan,Mount Maunganui,2020,home
35,KS Williamson,113.0,250.0,172.0,10.0,2.0,65.69,1.0,India,Auckland,2014,home
38,KS Williamson,108.0,245.0,164.0,12.0,1.0,65.85,4.0,Sri Lanka,Hamilton,2015,home
45,KS Williamson,104.0,144.0,90.0,15.0,0.0,115.55,4.0,Bangladesh,Wellington,2017,home
46,KS Williamson,104.0,310.0,234.0,11.0,0.0,44.44,3.0,England,Hamilton,2019,home
48,KS Williamson,102.0,327.0,228.0,9.0,0.0,44.73,4.0,South Africa,Wellington,2012,home
51,KS Williamson,102.0,319.0,220.0,11.0,1.0,46.36,2.0,England,Auckland,2018,home
53,KS Williamson,97.0,340.0,210.0,8.0,0.0,46.19,3.0,Australia,Christchurch,2016,home
55,KS Williamson,91.0,266.0,199.0,15.0,0.0,45.72,1.0,England,Auckland,2013,home
56,KS Williamson,91.0,169.0,93.0,10.0,0.0,97.84,2.0,Sri Lanka,Wellington,2018,home
57,KS Williamson,89.0,228.0,153.0,11.0,0.0,58.16,2.0,India,Wellington,2020,home
58,KS Williamson,88.0,171.0,123.0,12.0,0.0,71.54,1.0,Sri Lanka,Dunedin,2015,home
68,KS Williamson,77.0,253.0,193.0,10.0,0.0,39.89,3.0,South Africa,Hamilton,2012,home
75,KS Williamson,74.0,162.0,105.0,11.0,1.0,70.47,2.0,Bangladesh,Wellington,2019,home
82,KS Williamson,71.0,145.0,115.0,7.0,0.0,61.73,3.0,Sri Lanka,Dunedin,2015,home
85,KS Williamson,69.0,187.0,115.0,9.0,0.0,60.0,1.0,Sri Lanka,Wellington,2015,home
99,KS Williamson,61.0,85.0,77.0,4.0,1.0,79.22,4.0,Pakistan,Christchurch,2016,home
105,KS Williamson,58.0,187.0,148.0,5.0,0.0,39.18,2.0,West Indies,Hamilton,2013,home
110,KS Williamson,56.0,103.0,83.0,9.0,0.0,67.46,4.0,West Indies,Hamilton,2013,home
112,KS Williamson,55.0,233.0,174.0,7.0,0.0,31.6,3.0,England,Wellington,2013,home
118,KS Williamson,54.0,160.0,98.0,7.0,0.0,55.1,1.0,Sri Lanka,Christchurch,2014,home
119,KS Williamson,54.0,98.0,64.0,8.0,0.0,84.37,3.0,West Indies,Hamilton,2017,home
120,KS Williamson,53.0,85.0,55.0,8.0,0.0,96.36,2.0,Bangladesh,Wellington,2017,home
130,KS Williamson,51.0,141.0,85.0,7.0,0.0,60.0,2.0,England,Mount Maunganui,2019,home
145,KS Williamson,48.0,92.0,75.0,5.0,0.0,64.0,3.0,Sri Lanka,Christchurch,2018,home
146,KS Williamson,47.0,167.0,100.0,6.0,0.0,47.0,1.0,India,Wellington,2014,home
155,KS Williamson,45.0,123.0,83.0,6.0,1.0,54.21,1.0,West Indies,Wellington,2013,home
164,KS Williamson,43.0,126.0,96.0,5.0,0.0,44.79,1.0,West Indies,Hamilton,2017,home
168,KS Williamson,42.0,129.0,87.0,7.0,0.0,48.27,2.0,England,Wellington,2013,home
169,KS Williamson,42.0,138.0,88.0,7.0,0.0,47.72,3.0,Pakistan,Hamilton,2016,home
185,KS Williamson,39.0,134.0,92.0,5.0,0.0,42.39,2.0,South Africa,Wellington,2012,home
26,KS Williamson,31.0,113.0,75.0,0.0,0.0,41.33,4.0,Sri Lanka,Christchurch,2014,home
70,KS Williamson,24.0,97.0,69.0,3.0,0.0,34.78,2.0,England,Dunedin,2013,home
84,KS Williamson,22.0,72.0,44.0,3.0,0.0,50.0,3.0,Australia,Wellington,2016,home
89,KS Williamson,22.0,83.0,48.0,1.0,0.0,45.83,2.0,England,Christchurch,2018,home
98,KS Williamson,21.0,48.0,33.0,2.0,0.0,63.63,3.0,Pakistan,Mount Maunganui,2020,home
145,KS Williamson,16.0,24.0,18.0,4.0,0.0,88.88,1.0,Australia,Wellington,2016,home
176,KS Williamson,13.0,63.0,42.0,2.0,0.0,30.95,1.0,Pakistan,Hamilton,2016,home
195,KS Williamson,11.0,45.0,45.0,0.0,0.0,24.44,2.0,South Africa,Dunedin,2012,home
36,KS Williamson,7.0,40.0,22.0,0.0,0.0,31.81,3.0,India,Wellington,2014,home
40,KS Williamson,7.0,98.0,69.0,0.0,0.0,10.14,1.0,Australia,Christchurch,2016,home
76,KS Williamson,5.0,17.0,8.0,1.0,0.0,62.5,4.0,India,Christchurch,2020,home
85,KS Williamson,4.0,18.0,8.0,0.0,0.0,50.0,1.0,Zimbabwe,Napier,2012,home
91,KS Williamson,4.0,21.0,15.0,0.0,0.0,26.66,2.0,Pakistan,Christchurch,2016,home
100,KS Williamson,4.0,30.0,20.0,0.0,0.0,20.0,1.0,England,Hamilton,2019,home
109,KS Williamson,3.0,22.0,17.0,0.0,0.0,17.64,3.0,India,Auckland,2014,home
113,KS Williamson,3.0,12.0,8.0,0.0,0.0,37.5,2.0,India,Christchurch,2020,home
128,KS Williamson,2.0,4.0,2.0,0.0,0.0,100.0,2.0,Bangladesh,Christchurch,2017,home
130,KS Williamson,2.0,15.0,10.0,0.0,0.0,20.0,1.0,South Africa,Wellington,2017,home
133,KS Williamson,2.0,31.0,18.0,0.0,0.0,11.11,1.0,Sri Lanka,Christchurch,2018,home
143,KS Williamson,1.0,14.0,11.0,0.0,0.0,9.09,3.0,England,Auckland,2013,home
147,KS Williamson,1.0,7.0,4.0,0.0,0.0,25.0,2.0,Sri Lanka,Hamilton,2015,home
153,KS Williamson,1.0,12.0,6.0,0.0,0.0,16.66,3.0,South Africa,Wellington,2017,home
154,KS Williamson,1.0,16.0,10.0,0.0,0.0,10.0,2.0,West Indies,Wellington,2017,home
167,KS Williamson,0.0,13.0,8.0,0.0,0.0,0.0,1.0,South Africa,Hamilton,2012,home
10,KS Williamson,0.0,1.0,1.0,0.0,0.0,0.0,4.0,England,Christchurch,2018,home
