,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
0,V Kohli,200,375,283,24,0,70.67,1,West Indies,North Sound,2016,away
4,V Kohli,169,380,272,18,0,62.13,2,Australia,Melbourne,2014,away
9,V Kohli,153,379,217,15,0,70.5,2,South Africa,Centurion,2018,away
11,V Kohli,149,277,225,22,1,66.22,2,England,Birmingham,2018,away
14,V Kohli,147,315,230,20,0,63.91,2,Australia,Sydney,2015,away
19,V Kohli,141,279,175,16,1,80.57,4,Australia,Adelaide,2014,away
26,V Kohli,123,373,257,13,1,47.85,2,Australia,Perth,2018,away
27,V Kohli,119,257,181,18,0,65.74,1,South Africa,Johannesburg,2013,away
32,V Kohli,116,237,213,11,1,54.46,2,Australia,Adelaide,2012,away
34,V Kohli,115,267,184,12,0,62.5,2,Australia,Adelaide,2014,away
45,V Kohli,105,195,135,15,1,77.77,4,New Zealand,Wellington,2014,away
48,V Kohli,103,158,136,5,1,75.73,3,Sri Lanka,Galle,2017,away
50,V Kohli,103,266,191,11,0,53.92,2,Sri Lanka,Galle,2015,away
51,V Kohli,103,292,197,10,0,52.28,3,England,Nottingham,2018,away
57,V Kohli,97,243,152,11,0,63.81,1,England,Nottingham,2018,away
59,V Kohli,96,254,193,9,0,49.74,3,South Africa,Johannesburg,2013,away
78,V Kohli,82,305,204,9,0,40.19,1,Australia,Melbourne,2018,away
91,V Kohli,78,178,107,8,1,72.89,1,Sri Lanka,Colombo (PSS),2015,away
96,V Kohli,76,211,163,10,0,46.62,1,West Indies,Kingston,2019,away
97,V Kohli,75,191,136,9,0,55.14,3,Australia,Perth,2012,away
100,V Kohli,74,244,180,8,0,41.11,1,Australia,Adelaide,2020,away
116,V Kohli,67,131,102,12,0,65.68,4,New Zealand,Auckland,2014,away
133,V Kohli,58,170,130,4,0,44.61,4,England,Southampton,2018,away
153,V Kohli,54,134,99,7,0,54.54,4,Australia,Melbourne,2014,away
