,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
1,V Kohli,254,0,336,33,2,75.59,1,South Africa,Pune,2019,home
2,V Kohli,243,447,287,25,0,84.66,1,Sri Lanka,Delhi,2017,home
4,V Kohli,235,515,340,25,1,69.11,2,England,Mumbai,2016,home
7,V Kohli,213,386,267,17,2,79.77,2,Sri Lanka,Nagpur,2017,home
9,V Kohli,211,536,366,20,0,57.65,1,New Zealand,Indore,2016,home
12,V Kohli,204,295,246,24,0,82.92,1,Bangladesh,Hyderabad (Deccan),2017,home
21,V Kohli,167,401,267,18,0,62.54,1,England,Visakhapatnam,2016,home
28,V Kohli,139,341,230,10,0,60.43,1,West Indies,Rajkot,2018,home
30,V Kohli,136,0,194,18,0,70.1,2,Bangladesh,Kolkata,2019,home
48,V Kohli,107,266,206,15,1,51.94,2,Australia,Chennai,2013,home
53,V Kohli,104,208,119,12,2,87.39,3,Sri Lanka,Kolkata,2017,home
56,V Kohli,103,284,193,14,1,53.36,2,New Zealand,Bengaluru,2012,home
57,V Kohli,103,356,295,11,0,34.91,2,England,Nagpur,2012,home
75,V Kohli,88,259,165,10,0,53.33,3,South Africa,Delhi,2015,home
87,V Kohli,81,172,109,8,0,74.31,3,England,Visakhapatnam,2016,home
103,V Kohli,72,153,104,9,0,69.23,4,England,Chennai,2021,home
110,V Kohli,67,157,129,7,1,51.93,2,Australia,Mohali,2013,home
122,V Kohli,63,136,114,3,1,55.26,4,West Indies,Mumbai,2011,home
126,V Kohli,62,161,127,9,0,48.81,2,England,Mohali,2016,home
127,V Kohli,62,200,149,7,0,41.61,3,England,Chennai,2021,home
137,V Kohli,58,143,107,8,0,54.2,1,New Zealand,Hyderabad (Deccan),2012,home
141,V Kohli,57,80,78,5,0,73.07,2,West Indies,Mumbai,2013,home
156,V Kohli,52,154,111,5,0,46.84,2,West Indies,Mumbai,2011,home
161,V Kohli,51,130,82,9,0,62.19,4,New Zealand,Bengaluru,2012,home
172,V Kohli,50,89,58,3,0,86.2,3,Sri Lanka,Delhi,2017,home
174,V Kohli,49,129,98,6,0,50,4,England,Rajkot,2016,home
186,V Kohli,45,82,65,7,0,69.23,3,New Zealand,Kolkata,2016,home
187,V Kohli,45,86,78,5,0,57.69,2,West Indies,Hyderabad (Deccan),2018,home
190,V Kohli,44,74,62,7,0,70.96,1,South Africa,Delhi,2015,home
0,V Kohli,41,76,60,4,0,68.33,4,Australia,Delhi,2013,home
7,V Kohli,40,135,95,5,0,42.1,2,England,Rajkot,2016,home
17,V Kohli,38,51,40,2,1,95,3,Bangladesh,Hyderabad (Deccan),2017,home
28,V Kohli,34,119,92,3,0,36.95,2,Australia,Hyderabad (Deccan),2013,home
29,V Kohli,34,80,61,6,0,55.73,4,Australia,Mohali,2013,home
45,V Kohli,31,0,25,3,1,124,3,South Africa,Visakhapatnam,2019,home
61,V Kohli,29,92,71,4,0,40.84,3,South Africa,Mohali,2015,home
74,V Kohli,27,85,58,3,0,46.55,2,England,Ahmedabad,2021,home
109,V Kohli,22,73,55,2,0,40,1,South Africa,Nagpur,2015,home
123,V Kohli,20,86,60,3,0,33.33,3,England,Kolkata,2012,home
127,V Kohli,20,0,40,4,0,50,1,South Africa,Visakhapatnam,2019,home
129,V Kohli,19,70,67,3,0,28.35,1,England,Ahmedabad,2012,home
130,V Kohli,19,65,55,3,0,34.54,1,England,Mumbai,2012,home
138,V Kohli,18,45,40,3,0,45,3,New Zealand,Kanpur,2016,home
148,V Kohli,17,36,28,1,0,60.71,3,New Zealand,Indore,2016,home
157,V Kohli,16,49,30,2,0,53.33,3,South Africa,Nagpur,2015,home
165,V Kohli,15,44,29,1,0,51.72,2,England,Chennai,2016,home
166,V Kohli,15,34,25,1,0,60,3,Australia,Bengaluru,2017,home
169,V Kohli,14,17,21,3,0,66.66,4,England,Ahmedabad,2012,home
190,V Kohli,13,33,37,1,0,35.13,4,Australia,Pune,2017,home
5,V Kohli,12,25,17,2,0,70.58,1,Australia,Bengaluru,2017,home
7,V Kohli,12,0,22,2,0,54.54,1,South Africa,Ranchi,2019,home
18,V Kohli,11,69,48,0,0,22.91,2,England,Chennai,2021,home
46,V Kohli,9,12,10,2,0,90,1,New Zealand,Kanpur,2016,home
49,V Kohli,9,42,28,1,0,32.14,1,New Zealand,Kolkata,2016,home
77,V Kohli,7,16,13,1,0,53.84,3,England,Mumbai,2012,home
96,V Kohli,6,11,11,0,0,54.54,4,England,Mohali,2016,home
101,V Kohli,6,31,24,1,0,25,1,England,Kolkata,2012,home
109,V Kohli,6,38,23,0,0,26.08,2,Australia,Ranchi,2017,home
162,V Kohli,3,13,5,0,0,60,2,West Indies,Kolkata,2013,home
7,V Kohli,1,11,8,0,0,12.5,2,Australia,Delhi,2013,home
11,V Kohli,1,5,4,0,0,25,1,South Africa,Mohali,2015,home
69,V Kohli,0,2,2,0,0,0,2,Australia,Pune,2017,home
78,V Kohli,0,18,11,0,0,0,1,Sri Lanka,Kolkata,2017,home
83,V Kohli,0,0,2,0,0,0,2,Bangladesh,Indore,2019,home
92,V Kohli,0,6,5,0,0,0,1,England,Chennai,2021,home
99,V Kohli,0,13,8,0,0,0,2,England,Ahmedabad,2021,home
