,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
2,JE Root,228.0,476.0,321.0,18.0,1.0,71.02,2.0,Sri Lanka,Galle,2021,away
3,JE Root,226.0,636.0,441.0,22.0,1.0,51.24,2.0,New Zealand,Hamilton,2019,away
4,JE Root,218.0,536.0,377.0,19.0,2.0,57.82,1.0,India,Chennai,2021,away
7,JE Root,186.0,495.0,309.0,18.0,0.0,60.19,2.0,Sri Lanka,Galle,2021,away
8,JE Root,182.0,333.0,229.0,17.0,4.0,79.47,2.0,West Indies,St George's,2015,away
21,JE Root,124.0,239.0,180.0,11.0,1.0,68.88,1.0,India,Rajkot,2016,away
22,JE Root,124.0,0.0,146.0,10.0,2.0,84.93,3.0,Sri Lanka,Pallekele,2018,away
25,JE Root,122.0,317.0,225.0,10.0,0.0,54.22,3.0,West Indies,Gros Islet,2019,away
37,JE Root,110.0,214.0,139.0,17.0,0.0,79.13,2.0,South Africa,Johannesburg,2016,away
48,JE Root,88.0,187.0,144.0,10.0,0.0,61.11,1.0,India,Chennai,2016,away
50,JE Root,87.0,269.0,194.0,9.0,0.0,44.84,4.0,Australia,Adelaide,2013,away
56,JE Root,83.0,186.0,133.0,11.0,0.0,62.4,1.0,West Indies,North Sound,2015,away
58,JE Root,83.0,225.0,141.0,8.0,0.0,58.86,1.0,Australia,Sydney,2018,away
66,JE Root,78.0,251.0,179.0,6.0,0.0,43.57,3.0,India,Mohali,2016,away
68,JE Root,77.0,127.0,112.0,11.0,0.0,68.75,3.0,India,Mumbai,2016,away
71,JE Root,76.0,192.0,128.0,11.0,0.0,59.37,2.0,South Africa,Centurion,2016,away
78,JE Root,73.0,289.0,229.0,4.0,0.0,31.87,1.0,India,Nagpur,2012,away
81,JE Root,73.0,192.0,128.0,5.0,1.0,57.03,3.0,South Africa,Durban,2015,away
92,JE Root,67.0,185.0,123.0,9.0,0.0,54.47,4.0,Australia,Adelaide,2017,away
108,JE Root,61.0,193.0,133.0,7.0,0.0,45.86,2.0,Australia,Melbourne,2017,away
109,JE Root,61.0,154.0,98.0,7.0,0.0,62.24,3.0,South Africa,Cape Town,2020,away
119,JE Root,59.0,134.0,79.0,5.0,1.0,74.68,3.0,West Indies,North Sound,2015,away
123,JE Root,59.0,176.0,108.0,6.0,0.0,54.62,1.0,South Africa,Johannesburg,2020,away
124,JE Root,58.0,236.0,167.0,1.0,0.0,34.73,3.0,Australia,Sydney,2018,away
127,JE Root,58.0,176.0,96.0,5.0,1.0,60.41,3.0,South Africa,Johannesburg,2020,away
134,JE Root,56.0,155.0,122.0,4.0,0.0,45.9,2.0,Bangladesh,Dhaka,2016,away
149,JE Root,54.0,182.0,128.0,4.0,0.0,42.18,3.0,New Zealand,Christchurch,2018,away
151,JE Root,53.0,105.0,98.0,6.0,0.0,54.08,2.0,India,Visakhapatnam,2016,away
165,JE Root,51.0,159.0,104.0,5.0,0.0,49.03,3.0,Australia,Brisbane,2017,away
166,JE Root,51.0,191.0,131.0,5.0,0.0,38.93,3.0,New Zealand,Auckland,2018,away
167,JE Root,50.0,113.0,79.0,5.0,0.0,63.29,1.0,South Africa,Cape Town,2016,away
179,JE Root,48.0,166.0,101.0,8.0,0.0,47.52,4.0,South Africa,Centurion,2019,away
189,JE Root,46.0,0.0,79.0,4.0,0.0,58.22,1.0,Sri Lanka,Colombo (SSC),2018,away
192,JE Root,45.0,254.0,176.0,4.0,0.0,25.56,2.0,New Zealand,Auckland,2013,away
25,JE Root,40.0,97.0,49.0,5.0,0.0,81.63,1.0,Bangladesh,Chattogram,2016,away
27,JE Root,40.0,70.0,32.0,7.0,0.0,125.0,3.0,India,Chennai,2021,away
38,JE Root,37.0,80.0,63.0,5.0,0.0,58.73,1.0,New Zealand,Christchurch,2018,away
52,JE Root,35.0,0.0,46.0,5.0,0.0,76.08,1.0,Sri Lanka,Galle,2018,away
58,JE Root,35.0,62.0,49.0,5.0,0.0,71.42,1.0,South Africa,Cape Town,2020,away
69,JE Root,33.0,58.0,35.0,5.0,0.0,94.28,1.0,West Indies,Bridgetown,2015,away
73,JE Root,33.0,133.0,92.0,3.0,0.0,35.86,4.0,India,Chennai,2021,away
102,JE Root,30.0,79.0,72.0,3.0,0.0,41.66,3.0,India,Ahmedabad,2021,away
107,JE Root,29.0,107.0,79.0,2.0,0.0,36.7,4.0,New Zealand,Auckland,2013,away
109,JE Root,29.0,50.0,29.0,5.0,0.0,100.0,3.0,South Africa,Cape Town,2016,away
114,JE Root,29.0,84.0,49.0,5.0,0.0,59.18,2.0,South Africa,Centurion,2019,away
136,JE Root,27.0,68.0,46.0,4.0,0.0,58.69,1.0,South Africa,Port Elizabeth,2020,away
139,JE Root,26.0,121.0,86.0,4.0,0.0,30.23,4.0,Australia,Brisbane,2013,away
158,JE Root,25.0,123.0,107.0,3.0,0.0,23.36,4.0,India,Visakhapatnam,2016,away
