,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
1,SPD Smith,215.0,503.0,346.0,25.0,1.0,62.13,1.0,England,Lord's,2015,away
2,SPD Smith,211.0,513.0,319.0,24.0,2.0,66.14,1.0,England,Manchester,2019,away
3,SPD Smith,199.0,513.0,361.0,21.0,2.0,55.12,1.0,West Indies,Kingston,2015,away
5,SPD Smith,178.0,512.0,361.0,17.0,0.0,49.3,1.0,India,Ranchi,2017,away
13,SPD Smith,144.0,336.0,219.0,16.0,2.0,65.75,1.0,England,Birmingham,2019,away
14,SPD Smith,143.0,387.0,252.0,17.0,2.0,56.74,1.0,England,The Oval,2015,away
16,SPD Smith,142.0,326.0,207.0,14.0,0.0,68.59,3.0,England,Birmingham,2019,away
19,SPD Smith,138.0,382.0,241.0,16.0,2.0,57.26,1.0,England,The Oval,2013,away
20,SPD Smith,138.0,350.0,241.0,17.0,0.0,57.26,2.0,New Zealand,Christchurch,2016,away
27,SPD Smith,119.0,305.0,218.0,10.0,1.0,54.58,2.0,Sri Lanka,Colombo (SSC),2016,away
33,SPD Smith,111.0,224.0,173.0,14.0,0.0,64.16,1.0,India,Dharamsala,2017,away
36,SPD Smith,109.0,256.0,202.0,11.0,0.0,53.96,3.0,India,Pune,2017,away
40,SPD Smith,100.0,288.0,213.0,13.0,0.0,46.94,1.0,South Africa,Centurion,2014,away
47,SPD Smith,92.0,236.0,185.0,10.0,1.0,49.72,1.0,India,Mohali,2013,away
48,SPD Smith,92.0,264.0,161.0,14.0,0.0,57.14,2.0,England,Lord's,2019,away
50,SPD Smith,89.0,289.0,196.0,8.0,0.0,45.4,1.0,England,Manchester,2013,away
57,SPD Smith,84.0,214.0,155.0,9.0,3.0,54.19,1.0,South Africa,Cape Town,2014,away
60,SPD Smith,82.0,155.0,92.0,11.0,0.0,89.13,3.0,England,Manchester,2019,away
65,SPD Smith,80.0,261.0,145.0,9.0,1.0,55.17,2.0,England,The Oval,2019,away
78,SPD Smith,71.0,133.0,112.0,10.0,1.0,63.39,2.0,New Zealand,Wellington,2016,away
108,SPD Smith,58.0,67.0,48.0,9.0,0.0,120.83,3.0,England,Lord's,2015,away
111,SPD Smith,58.0,107.0,94.0,8.0,0.0,61.7,2.0,Bangladesh,Chattogram,2017,away
117,SPD Smith,56.0,155.0,114.0,11.0,0.0,49.12,1.0,South Africa,Durban,2018,away
120,SPD Smith,55.0,151.0,125.0,1.0,0.0,44.0,4.0,Sri Lanka,Pallekele,2016,away
121,SPD Smith,54.0,97.0,83.0,5.0,1.0,65.06,3.0,West Indies,Kingston,2015,away
124,SPD Smith,53.0,78.0,46.0,4.0,1.0,115.21,4.0,New Zealand,Christchurch,2016,away
125,SPD Smith,53.0,98.0,79.0,7.0,1.0,67.08,2.0,England,Nottingham,2013,away
145,SPD Smith,49.0,102.0,72.0,8.0,0.0,68.05,2.0,South Africa,Port Elizabeth,2014,away
154,SPD Smith,46.0,152.0,145.0,3.0,2.0,31.72,1.0,India,Delhi,2013,away
195,SPD Smith,38.0,97.0,81.0,3.0,0.0,46.91,3.0,South Africa,Durban,2018,away
0,SPD Smith,37.0,149.0,99.0,3.0,0.0,37.37,4.0,Bangladesh,Dhaka,2017,away
1,SPD Smith,36.0,29.0,20.0,5.0,0.0,180.0,3.0,South Africa,Cape Town,2014,away
19,SPD Smith,33.0,78.0,56.0,5.0,0.0,58.92,2.0,England,Cardiff,2015,away
20,SPD Smith,33.0,77.0,49.0,6.0,0.0,67.34,4.0,England,Cardiff,2015,away
46,SPD Smith,30.0,65.0,53.0,3.0,0.0,56.6,2.0,Sri Lanka,Pallekele,2016,away
47,SPD Smith,30.0,57.0,58.0,3.0,0.0,51.72,4.0,Sri Lanka,Galle,2016,away
64,SPD Smith,28.0,69.0,48.0,3.0,0.0,58.33,4.0,India,Bengaluru,2017,away
70,SPD Smith,27.0,128.0,95.0,2.0,0.0,28.42,1.0,India,Pune,2017,away
90,SPD Smith,25.0,154.0,90.0,1.0,0.0,27.77,2.0,West Indies,Roseau,2015,away
97,SPD Smith,25.0,93.0,58.0,3.0,0.0,43.1,1.0,South Africa,Port Elizabeth,2018,away
133,SPD Smith,23.0,88.0,53.0,4.0,0.0,43.39,4.0,England,The Oval,2019,away
151,SPD Smith,21.0,98.0,68.0,2.0,0.0,30.88,3.0,India,Ranchi,2017,away
169,SPD Smith,19.0,27.0,19.0,0.0,2.0,100.0,3.0,England,Manchester,2013,away
185,SPD Smith,18.0,43.0,53.0,1.0,0.0,33.96,3.0,India,Delhi,2013,away
0,SPD Smith,17.0,72.0,48.0,2.0,0.0,35.41,4.0,England,Nottingham,2013,away
1,SPD Smith,17.0,35.0,34.0,3.0,0.0,50.0,2.0,England,Chester-le-Street,2013,away
7,SPD Smith,17.0,25.0,15.0,3.0,0.0,113.33,3.0,India,Dharamsala,2017,away
20,SPD Smith,16.0,24.0,9.0,3.0,0.0,177.77,4.0,Bangladesh,Chattogram,2017,away
115,SPD Smith,11.0,20.0,18.0,1.0,1.0,61.11,3.0,South Africa,Port Elizabeth,2018,away
169,SPD Smith,8.0,40.0,27.0,1.0,0.0,29.62,3.0,England,Birmingham,2015,away
173,SPD Smith,8.0,17.0,14.0,1.0,0.0,57.14,4.0,Sri Lanka,Colombo (SSC),2016,away
175,SPD Smith,8.0,81.0,52.0,0.0,0.0,15.38,2.0,India,Bengaluru,2017,away
181,SPD Smith,8.0,16.0,16.0,1.0,0.0,50.0,2.0,Bangladesh,Dhaka,2017,away
196,SPD Smith,7.0,12.0,12.0,0.0,0.0,58.33,3.0,England,The Oval,2013,away
199,SPD Smith,7.0,26.0,18.0,1.0,0.0,38.88,1.0,England,Birmingham,2015,away
2,SPD Smith,7.0,29.0,21.0,0.0,1.0,33.33,4.0,South Africa,Cape Town,2018,away
